idx,wall_time,tf_stamp,gps_rel_x,gps_rel_y,estimate_x,estimate_y,direct_error_m,aligned_error_m,heading_error_deg,event
94,1782015023.424714,75.48,5.535701309246932,-2.4114565138457493,5.5598008445801534,-2.4231789655108416,0.026799318579352565,0.09781328684375046,,
95,1782015023.9374292,75.96,5.623711543947508,-2.3545914454338064,5.644517446829152,-2.3993107015459354,0.04932238297104675,0.1327186348747416,,
96,1782015024.444753,76.48,5.715330159071449,-2.303818859558211,5.740103039574992,-2.347388189861972,0.05011967828668718,0.13363871847143866,,
97,1782015024.9653049,76.98,5.810586515949744,-2.2573507722043837,5.835444752292458,-2.3015624807669446,0.05072087428358328,0.13639922119556838,,
98,1782015025.4688609,77.48,5.907044070430253,-2.2153618717642116,5.942565988731483,-2.250983133504943,0.05030587408842958,0.1309334511404411,,
99,1782015025.9818902,77.96,6.022840537339384,-2.187042589778823,6.039346893943975,-2.2160512279998597,0.03337605278934144,0.12572585683527243,,
100,1782015026.497271,78.48,6.085604698530666,-2.173641625641972,6.144626673218144,-2.1816256900270314,0.059559539790986035,0.11395313601987016,,
101,1782015027.005631,78.96,6.1274341930919505,-2.180062666246247,6.232090904676735,-2.1608896308972874,0.10639846128696212,0.1181890577121379,,
102,1782015027.5173814,79.48,6.228875662289326,-2.204695768863729,6.227526577554425,-2.158442427646644,0.04627301160899375,0.058293465555494174,,
103,1782015028.0581007,79.96,6.321934076472701,-2.2279243310738277,6.322119213350194,-2.159072219983419,0.06885235999781976,0.039000937035467954,,
104,1782015029.0669043,80.96,6.413995692543089,-2.24635217657295,6.418085044695769,-2.1550282156002605,0.09141547269893613,0.02035925390776518,,
105,1782015029.578134,81.48,6.437101724458088,-2.2542048638536416,6.443296655693413,-2.150472398847383,0.10391728186055049,0.013027811897498225,,
106,1782015030.086795,81.96,6.45336342523354,-2.256426418636787,6.457952862958153,-2.144484012738271,0.11203644575305007,0.015616294013368165,,
107,1782015030.5957177,82.48,6.453005166862546,-2.2550136157892737,6.458505806791658,-2.1441998767950547,0.11095017705938387,0.01434355247615664,,
108,1782015031.1215153,82.98,6.452822293737526,-2.2540873082945385,6.458506297849493,-2.144200979265015,0.1100332368438263,0.013875092152216361,,
109,1782015031.6238298,83.48,6.452705075638633,-2.253395570706326,6.458410502619093,-2.144240468701493,0.10930410875495411,0.013661691921675125,,
110,1782015032.1464388,83.96,6.452653068686594,-2.253052349591723,6.45841028181827,-2.144239907068219,0.10896464174664365,0.013532669750702971,,
111,1782015032.6633928,84.48,6.452620022580874,-2.2528195037302066,6.458507060968733,-2.144202883772677,0.1087760421783147,0.01336308496001382,,
112,1782015033.1680286,84.96,6.4525887830673625,-2.2525864173215497,6.458409983167183,-2.144239116752456,0.10850356635250154,0.01337611472048335,,
113,1782015033.6692836,85.48,6.452559353181478,-2.2523531073206353,6.458409859126566,-2.1442387765747757,0.108272512358579,0.013305944102447214,,
114,1782015034.2044528,85.98,6.452531734439631,-2.252119587912576,6.4585074744289495,-2.1442040176749435,0.10808089455650019,0.013149000593754796,,
115,1782015035.1949587,86.96,6.474329561593663,-2.2480696554636914,6.479152617806092,-2.1364114405106496,0.11176233192685245,0.014959501405256568,,
116,1782015035.7036242,87.48,6.474238448603266,-2.245187679009236,6.4792527481480375,-2.13638499494618,0.10891816771893399,0.014004501563803366,,
117,1782015036.2199545,87.96,6.474326202917595,-2.2433133515196895,6.479150985629606,-2.136404267095134,0.10701789972109715,0.013985580682487436,,
118,1782015036.729966,88.48,6.474465848797671,-2.2419286474094093,6.479150749446335,-2.136402350539837,0.10563024010714428,0.014135429460108468,,
