wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
36.504,1782021542.6,7,"heading to waypoint #7 (3.6, -12.6)",ok,,2.702,-12.37,-18.6,-4.821,-14.695,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,3.183,545
37.004,1782021543.1,7,"heading to waypoint #7 (3.6, -12.6)",ok,,2.946,-12.519,-18.2,-4.524,-14.946,0,ok,0,ok,0,ok,18,18,18,0,0,ok,18,18,18,0,0,ok,3.055,543
37.504,1782021543.6,7,"heading to waypoint #7 (3.6, -12.6)",ok,,3.27,-12.616,-18.8,-4.242,-15.161,0,ok,0,ok,0,ok,18,18,16,0,0,ok,18,18,18,0,0,ok,2.764,553
38.004,1782021544.1,8,"heading to waypoint #8 (3.6, -11.3)",ok,,3.184,-12.5,12.7,-4.242,-15.161,0,ok,0,ok,0,ok,24,24,8,10,0,ok,24,24,24,0,0,ok,2.764,560
38.504,1782021544.6,8,"heading to waypoint #8 (3.6, -11.3)",plan_not_in_local_costmap,plan_not_in_local_costmap,4.624,-11.583,109.7,-4.043,-15.007,0,ok,0,ok,43,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.625,548
39.004,1782021545.1,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal_static_free,"pose_global_lethal,pose_global_lethal_static_free,plan_not_in_local_costmap",6.432,-10.584,133.7,-4.042,-15.004,0,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.383,544
39.504,1782021545.6,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal_static_free,"pose_global_lethal,pose_global_lethal_static_free,plan_not_in_local_costmap",6.432,-10.584,133.7,-4.042,-15.004,0,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.383,544
40.004,1782021546.1,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal_static_free,"pose_global_lethal,pose_global_lethal_static_free,plan_not_in_local_costmap",6.432,-10.584,157.8,-4.042,-15.004,0,ok,99,ok,57,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.623,546
40.504,1782021546.6,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.854,-10.11,-136.6,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
41.004,1782021547.1,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
41.504,1782021547.6,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
42.004,1782021548.1,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
42.504,1782021548.6,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
43.004,1782021549.1,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
43.504,1782021549.6,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
44.004,1782021550.1,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
44.504,1782021550.6,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
