wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,tf_error,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count,path_error_m,path_error_status,edge_from,edge_to,target_x,target_y,edge_start_x,edge_start_y
31.005,1782026770.589,12,"heading to waypoint #12 (2.3, 10.4)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free",1.57,8.457,51.9,2.797,8.312,0,ok,99,ok,0,ok,49,44,33,0,0,ok,49,49,37,0,0,ok,1.176,693,0.098,ok,11,12,2.255,10.43,1.905,8.58
31.505,1782026771.089,12,"heading to waypoint #12 (2.3, 10.4)",pose_static_lethal,,"pose_static_lethal,pose_global_lethal",1.572,8.748,45.6,3.125,8.505,100,ok,100,ok,0,ok,49,49,6,28,0,ok,49,49,37,0,0,ok,0.886,712,0.376,ok,11,12,2.255,10.43,1.905,8.58
32.005,1782026771.589,12,"heading to waypoint #12 (2.3, 10.4)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free,plan_no_free_points_in_local_costmap",1.674,8.942,43.9,3.5,8.665,0,ok,99,ok,0,ok,49,47,0,21,0,ok,49,49,37,0,0,ok,0.626,711,0.475,ok,11,12,2.255,10.43,1.905,8.58
32.505,1782026772.089,12,"heading to waypoint #12 (2.3, 10.4)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free,plan_no_free_points_in_local_costmap",1.474,8.977,46.3,3.636,8.718,0,ok,99,ok,48,ok,49,49,0,19,0,ok,49,49,37,0,0,ok,0.493,709,0.621,ok,11,12,2.255,10.43,1.905,8.58
33.005,1782026772.589,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free,plan_no_free_points_in_local_costmap",1.474,8.977,46.3,3.636,8.718,0,ok,99,ok,48,ok,49,49,0,19,0,ok,49,49,37,0,0,ok,0.493,709,0.621,ok,11,12,2.255,10.43,1.905,8.58
33.505,1782026773.089,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free,plan_no_free_points_in_local_costmap",1.474,8.977,46.3,3.636,8.718,0,ok,99,ok,48,ok,49,49,0,19,0,ok,49,49,37,0,0,ok,0.493,709,0.621,ok,11,12,2.255,10.43,1.905,8.58
34.005,1782026773.589,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free,plan_no_free_points_in_local_costmap",1.474,8.977,46.3,3.636,8.718,0,ok,99,ok,48,ok,49,49,0,19,0,ok,49,49,37,0,0,ok,0.493,709,0.621,ok,11,12,2.255,10.43,1.905,8.58
34.505,1782026774.089,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free,plan_not_in_local_costmap,path_tracking_error",-0.101,9.068,170.9,3.636,8.718,0,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,1.859,ok,11,12,2.255,10.43,1.905,8.58
35.005,1782026774.589,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
35.505,1782026775.089,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
36.005,1782026775.589,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
36.505,1782026776.089,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
37.005,1782026776.589,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
37.505,1782026777.089,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
38.005,1782026777.589,12,"waypoint #12 safe_pose_cost_100; recover to safe pose (1.37, 7.84)",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
38.505,1782026778.089,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
39.005,1782026778.589,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
39.505,1782026779.089,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
40.005,1782026779.589,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
40.505,1782026780.089,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
41.005,1782026780.589,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
41.505,1782026781.089,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
42.005,1782026781.589,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
42.505,1782026782.089,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
43.005,1782026782.589,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
43.505,1782026783.089,12,"mission safe_pose_recovery_failed (reached=11/96 missed=[9, 12])",pose_static_lethal,,"pose_static_lethal,pose_global_lethal,plan_not_in_local_costmap,path_tracking_error",-1.325,9.088,-171.4,3.636,8.718,100,ok,100,ok,53,ok,49,0,0,0,0,ok,49,49,37,0,0,ok,3.386,700,3.035,ok,11,12,2.255,10.43,1.905,8.58
